,index,gene_name,p_raw,p_bonferroni,mean_log1p,mean_norm
240,L6b,Calb1,0.0,0.0,6.653187229685868,1952.531619160088
241,L6b,Penk,0.0,0.0,6.170282774826138,1135.986996490147
242,L6b,Wipf3,0.0,0.0,7.091402494733177,28773.638538092193
243,L6b,Pvalb,4.436366736665031e-168,5.634185755564588e-166,6.756693069771963,1748.4185394562287
244,Lamp5,Bcl11b,0.0,0.0,4.332060794372322,10156.923229744621
245,Lamp5,Sulf2,0.0,0.0,6.626607869072078,26066.169358077266
246,Lamp5,Slc32a1,0.0,0.0,2.464528810492325,6768.66367403154
247,Lamp5,Shisa9,0.0,0.0,5.8917551769122705,9289.695942429238
248,Lamp5,Rgs6,0.0,0.0,6.249597821665058,12216.760958061705
249,Lamp5,Rab3b,0.0,0.0,7.582379701437063,2689.8519317664422
250,Lamp5,Ptprm,0.0,0.0,5.3752787836577225,12255.85593864789
251,Lamp5,Ubash3b,0.0,0.0,3.3033018106667407,4501.627730659886
252,Lamp5,Parm1,0.0,0.0,4.2954257701209695,7901.860248358235
253,Lamp5,Grik1,0.0,0.0,2.0376603782304286,2879.953872679508
254,Lamp5,Gad2,0.0,0.0,8.11323845882878,4278.066672777633
255,Lamp5,Gad1,0.0,0.0,4.436204908696757,2714.8697259363025
256,Lamp5,Dscaml1,0.0,0.0,4.996016097354123,8055.4340551160585
257,Lamp5,Cnr1,0.0,0.0,3.930099398436411,1060.8075122345476
258,Lamp5,Camk2d,0.0,0.0,5.749795158462924,11880.690225730581
259,Lamp5,Lamp5,0.0,0.0,5.098040867988953,2440.896210148816
260,Lamp5,Ust,0.0,0.0,3.3437713608749426,3094.020923733236
261,Lamp5,Tac2,1.9613812758475538e-11,2.4909542203263932e-09,6.684355474796022,1421.6704737200985
262,Macrophages,Cd14,0.0,0.0,1.0053087527752347,2536.7735080003486
263,Macrophages,Cldn5,0.0,0.0,2.1967023361342264,20923.847420070026
264,Macrophages,Flt1,0.0,0.0,2.6858181500260705,22322.913686155327
265,Macrophages,Tac2,1.2815013610104583e-20,1.627506728483282e-18,6.684355474796022,1421.6704737200985
266,Microglia,Ctss,0.0,0.0,2.6910729552316703,13712.99100305046
267,Microglia,Pvalb,1.7080527899336876e-21,2.1692270432157834e-19,6.756693069771963,1748.4185394562287
268,OPC,Cspg4,0.0,0.0,1.0769484025393148,2807.51199079272
269,OPC,Pdgfra,0.0,0.0,2.1424784222165596,4346.113173226379
270,OPC,Sox10,0.0,0.0,1.9074964268637475,9790.523186881936
271,OPC,Spon1,0.0,0.0,3.6771356750776194,7795.842431595372
272,OPC,Sulf2,0.0,0.0,6.626607869072078,26066.169358077266
273,OPC,Pou3f3,6.739649366902719e-196,8.559354695966454e-194,8.140773456901536,22706.056324804278
274,Oligodendrocytes,Adamts4,0.0,0.0,2.3014844098179124,6096.272102191504
275,Oligodendrocytes,Daam2,0.0,0.0,4.587044620425552,12779.296338422435
276,Oligodendrocytes,Myh14,0.0,0.0,3.5235636034611786,5351.315181113274
277,Oligodendrocytes,Plekhg3,0.0,0.0,2.091532627247618,7228.680350131753
278,Oligodendrocytes,Pou3f3,0.0,0.0,8.140773456901536,22706.056324804278
279,Oligodendrocytes,Sox10,0.0,0.0,1.9074964268637475,9790.523186881936
280,Oligodendrocytes,Sulf2,0.0,0.0,6.626607869072078,26066.169358077266
281,Oligodendrocytes,Unc5b,0.0,0.0,2.227084452758058,9413.972587536202
282,Pericytes,Cspg4,0.0,0.0,1.0769484025393148,2807.51199079272
283,Pericytes,Flt1,0.0,0.0,2.6858181500260705,22322.913686155327
284,Pericytes,Rgs5,0.0,0.0,5.482173127615543,16153.27481199987
285,Pericytes,Vtn,0.0,0.0,1.8331175158933808,10974.802644372949
286,Pvalb,Ano4,0.0,0.0,4.378298228485031,6027.865579845883
287,Pvalb,Ubash3b,0.0,0.0,3.3033018106667407,4501.627730659886
288,Pvalb,Trpc4,0.0,0.0,3.6020210168471087,2895.9271698766756
